ID,ra,dec
Sartori37935,163.6267083333330,57.36936111111110
Sartori38058,119.60025000000000,17.129361111111100
Sartori38107,46.21425000000000,0.20505555555555600
Sartori38410,154.73879166666700,6.4230833333333300
Sartori38474,118.909125,24.017666666666700
Sartori39895,192.05604166666700,43.95097222222220
Sartori39909,51.55858333333330,-1.0782777777777800
Sartori40922,163.169375,19.944805555555600
Sartori42470,240.39983333333300,31.23161111111110
Sartori42593,250.85808333333300,39.33111111111110
Sartori43060,127.24566666666700,8.808833333333330
Sartori43283,185.67583333333300,51.247
Sartori43400,150.99854166666700,41.484611111111100
Sartori44006,138.84941666666700,6.383888888888890
Sartori44058,131.36504166666700,53.14802777777780
Sartori44317,240.7569583333330,39.628972222222200
Sartori44445,314.0245833333330,-6.606
Sartori45052,236.95412500000000,22.05088888888890
Sartori45155,131.6005,54.15430555555560
Sartori45715,259.20870833333300,57.08208333333330
Sartori45874,242.42937500000000,26.794944444444400
Sartori46464,214.50725,21.85588888888890
Sartori47798,157.00479166666700,8.814416666666670
Sartori47952,173.36575,45.858916666666700
Sartori48098,164.03645833333300,24.15722222222220
Sartori48274,245.00450000000000,8.382944444444440
Sartori48473,199.9139583333330,26.788027777777800
Sartori48849,227.392375,37.529472222222200
Sartori49040,19.771416666666700,0.6291944444444450
Sartori49415,199.46400000000000,53.11247222222220
Sartori49838,215.92862500000000,22.958
Sartori5041,25.61245833333330,13.976972222222200
Sartori50820,173.2388333333330,31.475527777777800
Sartori50838,174.17804166666700,26.727138888888900
Sartori50950,156.121875,5.4141666666666700
Sartori51040,141.01591666666700,29.117055555555600
Sartori51329,228.18754166666700,26.58036111111110
Sartori51623,254.00479166666700,19.81063888888890
Sartori51844,171.4757083333330,31.89677777777780
Sartori52164,124.77045833333300,17.573250000000000
Sartori52246,149.70833333333300,67.45244444444450
Sartori52742,152.5795833333330,29.134944444444400
Sartori53767,237.36654166666700,10.790833333333300
Sartori53841,234.03491666666700,25.451055555555600
Sartori54437,245.46904166666700,15.315555555555600
